Sondeo,N,X,Y,Z
SM-37-P2,98,479213.08,2036499.92,-48.235
SM-37-P2,98,479213.08,2036499.92,-48.46
SM-37-P2,98,479213.08,2036499.92,-48.685
SM-37-P2,96.5,479213.08,2036499.92,-48.01
SM-65-P1,96,477374.93,2036265.02,-40.715
SM-65-P1,95.5,477374.93,2036265.02,-40.94
SM-65-P1,95,477374.93,2036265.02,-41.165
SM-37-P2,95,479213.08,2036499.92,-47.785
SM-65-P1,94.5,477374.93,2036265.02,-41.39
SM-65-P1,94,477374.93,2036265.02,-40.49
SM-65-P1,94,477374.93,2036265.02,-41.615
SM-65-P1,94,477374.93,2036265.02,-44.315
SM-70-P3,94,481498.09,2036695.19,0.945
SM-37-P2,93.5,479213.08,2036499.92,-47.56
SM-65-P1,92.5,477374.93,2036265.02,-41.84
SM-65-P1,92,477374.93,2036265.02,-12.365
SM-65-P1,92,477374.93,2036265.02,-40.265
SM-37-P2,92,479213.08,2036499.92,-47.335
SM-65-P1,91,477374.93,2036265.02,-40.04
SM-65-P1,91,477374.93,2036265.02,-42.065
SM-65-P1,91,477374.93,2036265.02,-44.54
SM-05-B2,91,478555.9,2037889.6,1.055
SM-37-P2,90.5,479213.08,2036499.92,-47.11
SM-65-P1,90,477374.93,2036265.02,-38.015
SM-65-P1,90,477374.93,2036265.02,-39.365
SM-65-P1,90,477374.93,2036265.02,-39.59
SM-65-P1,90,477374.93,2036265.02,-39.815
SM-65-P1,90,477374.93,2036265.02,-43.415
SM-65-P1,90,477374.93,2036265.02,-46.115
SM-65-P1,89.5,477374.93,2036265.02,-44.09
SM-37-P2,89,479213.08,2036499.92,-46.885
SM-70-P3,89,481498.09,2036695.19,3.195
SM-65-P1,88.5,477374.93,2036265.02,-37.79
SM-65-P1,88.5,477374.93,2036265.02,-45.89
SM-65-P1,88.5,477374.93,2036265.02,-46.34
SM-37-P2,88.5,479213.08,2036499.92,-46.66
SM-65-P1,88,477374.93,2036265.02,-37.115
SM-65-P1,88,477374.93,2036265.02,-44.765
SM-37-P2,88,479213.08,2036499.92,-46.435
SM-65-P1,87.5,477374.93,2036265.02,-37.34
SM-65-P1,87.5,477374.93,2036265.02,-43.64
SM-65-P1,87,477374.93,2036265.02,-36.89
SM-65-P1,87,477374.93,2036265.02,-37.565
SM-65-P1,87,477374.93,2036265.02,-45.665
SM-65-P1,87,477374.93,2036265.02,-46.565
SM-37-P2,86.5,479213.08,2036499.92,-46.21
