Sondeo,X,Y,prof,Vs (m/s),Z
Sds-01-P1,477482.68,2036933.28,2.51,92.601,-2.51
Sds-01-P1,477482.68,2036933.28,3.01,83.683,-3.01
Sds-01-P1,477482.68,2036933.28,3.51,99.097,-3.51
Sds-01-P1,477482.68,2036933.28,4.02,116.963,-4.02
Sds-01-P1,477482.68,2036933.28,4.51,104.715,-4.51
Sds-01-P1,477482.68,2036933.28,5.04,97.124,-5.04
Sds-01-P1,477482.68,2036933.28,5.5,97.656,-5.5
Sds-01-P1,477482.68,2036933.28,6.05,131.583,-6.05
Sds-01-P1,477482.68,2036933.28,6.53,115.743,-6.53
Sds-01-P1,477482.68,2036933.28,7.01,119.905,-7.01
Sds-01-P1,477482.68,2036933.28,7.5,127.878,-7.5
Sds-01-P1,477482.68,2036933.28,8.04,155.304,-8.04
Sds-01-P1,477482.68,2036933.28,8.52,158.253,-8.52
Sds-01-P1,477482.68,2036933.28,9.03,135.139,-9.03
Sds-01-P1,477482.68,2036933.28,9.53,128.209,-9.53
Sds-01-P1,477482.68,2036933.28,10.02,135.502,-10.02
Sds-01-P1,477482.68,2036933.28,10.55,128.209,-10.55
Sds-01-P1,477482.68,2036933.28,11.01,119.332,-11.01
Sds-01-P1,477482.68,2036933.28,11.51,127.885,-11.51
Sds-01-P1,477482.68,2036933.28,12.04,128.205,-12.04
Sds-01-P1,477482.68,2036933.28,12.55,120.483,-12.55
Sds-01-P1,477482.68,2036933.28,13.05,122.256,-13.05
Sds-01-P1,477482.68,2036933.28,13.52,138.138,-13.52
Sds-01-P1,477482.68,2036933.28,14.01,138.138,-14.01
Sds-01-P1,477482.68,2036933.28,14.49,131.934,-14.49
Sds-01-P1,477482.68,2036933.28,15.01,128.426,-15.01
Sds-01-P1,477482.68,2036933.28,15.5,124.107,-15.5
Sds-01-P1,477482.68,2036933.28,15.95,102.319,-15.95
Sds-01-P1,477482.68,2036933.28,16.51,105.731,-16.51
Sds-01-P1,477482.68,2036933.28,16.97,105.337,-16.97
Sds-01-P1,477482.68,2036933.28,17.49,109.172,-17.49
Sds-01-P1,477482.68,2036933.28,18.01,106.087,-18.01
Sds-01-P1,477482.68,2036933.28,18.49,114.165,-18.49
Sds-01-P1,477482.68,2036933.28,19.01,117.192,-19.01
Sds-01-P1,477482.68,2036933.28,19.49,154.5665,-19.49
Sds-01-P1,477482.68,2036933.28,20.01,289.104,-20.01
Sds-01-P1,477482.68,2036933.28,20.49,343.251,-20.49
Sds-01-P1,477482.68,2036933.28,21,370.391,-21
Sds-01-P1,477482.68,2036933.28,21.5,390.636,-21.5
Sds-01-P1,477482.68,2036933.28,22,382.693,-22
Sds-01-P1,477482.68,2036933.28,22.51,352.183,-22.51
Sds-01-P1,477482.68,2036933.28,23,367.647,-23
Sds-01-P1,477482.68,2036933.28,23.5,352.183,-23.5
Sds-01-P1,477482.68,2036933.28,24,380.72,-24
Sds-01-P1,477482.68,2036933.28,24.5,323.372,-24.5
Sds-01-P1,477482.68,2036933.28,24.99,268.817,-24.99
Sds-01-P1,477482.68,2036933.28,25.5,245.904,-25.5
Sds-01-P1,477482.68,2036933.28,26.02,234.384,-26.02
Sds-01-P1,477482.68,2036933.28,26.5,244.302,-26.5
Sds-01-P1,477482.68,2036933.28,27.01,234.375,-27.01
Sds-01-P1,477482.68,2036933.28,27.48,230.789,-27.48
Sds-01-P1,477482.68,2036933.28,28.01,283.023,-28.01
Sds-01-P1,477482.68,2036933.28,28.52,355.458,-28.52
Sds-01-P1,477482.68,2036933.28,28.99,341.022,-28.99
Sds-01-P1,477482.68,2036933.28,29.49,350.498,-29.49
Sds-01-P1,477482.68,2036933.28,29.99,326.309,-29.99
Sds-01-P1,477482.68,2036933.28,30.5,279.851,-30.5
Sds-01-P1,477482.68,2036933.28,31.01,271.753,-31.01
Sds-01-P1,477482.68,2036933.28,31.51,306.168,-31.51
Sds-01-P1,477482.68,2036933.28,31.98,311.209,-31.98
Sds-01-P1,477482.68,2036933.28,32.52,254.67,-32.52
Sds-01-P1,477482.68,2036933.28,33.02,254.24,-33.02
Sds-01-P1,477482.68,2036933.28,33.52,245.098,-33.52
Sds-01-P1,477482.68,2036933.28,34.02,182.704,-34.02
Sds-01-P1,477482.68,2036933.28,34.53,157.73,-34.53
Sds-01-P1,477482.68,2036933.28,35.02,155.286,-35.02
Sds-01-P1,477482.68,2036933.28,35.51,159.575,-35.51
Sds-01-P1,477482.68,2036933.28,36.02,152.13,-36.02
Sds-01-P1,477482.68,2036933.28,36.51,145.07,-36.51
Sds-01-P1,477482.68,2036933.28,37.01,150.301,-37.01
Sds-01-P1,477482.68,2036933.28,37.53,152.439,-37.53
Sds-01-P1,477482.68,2036933.28,38.03,150.605,-38.03
Sds-01-P1,477482.68,2036933.28,38.45,153.071,-38.45
Sds-01-P1,477482.68,2036933.28,39.01,174.015,-39.01
Sds-01-P1,477482.68,2036933.28,39.54,187.505,-39.54
Sds-01-P1,477482.68,2036933.28,40.02,212.466,-40.02
Sds-01-P1,477482.68,2036933.28,40.49,245.098,-40.49
Sds-01-P1,477482.68,2036933.28,41.02,267.871,-41.02
Sds-01-P1,477482.68,2036933.28,41.55,362.327,-41.55
Sds-01-P1,477482.68,2036933.28,42,345.63,-42
Sds-01-P1,477482.68,2036933.28,42.51,312.5,-42.51
Sds-01-P1,477482.68,2036933.28,42.99,289.104,-42.99
Sds-01-P1,477482.68,2036933.28,43.47,287.508,-43.47
Sds-01-P1,477482.68,2036933.28,44,297.619,-44
