Proffundidad,w,Sondeo,X,Y,Zmsn,Z
0.115,29.1,SM-26-P2,478399.31,2037192.67,2.46,2.345
0.34,11.1,SM-26-P2,478399.31,2037192.67,2.46,2.12
0.675,8.1,SM-26-P2,478399.31,2037192.67,2.46,1.785
1.125,7.1,SM-26-P2,478399.31,2037192.67,2.46,1.335
1.575,16.8,SM-26-P2,478399.31,2037192.67,2.46,0.885
2.025,22.9,SM-26-P2,478399.31,2037192.67,2.46,0.435
2.475,22.2,SM-26-P2,478399.31,2037192.67,2.46,-0.015
2.925,33.2,SM-26-P2,478399.31,2037192.67,2.46,-0.465
3.375,18.9,SM-26-P2,478399.31,2037192.67,2.46,-0.915
3.825,17.3,SM-26-P2,478399.31,2037192.67,2.46,-1.365
4.275,15.6,SM-26-P2,478399.31,2037192.67,2.46,-1.815
4.725,18.5,SM-26-P2,478399.31,2037192.67,2.46,-2.265
5.175,16.3,SM-26-P2,478399.31,2037192.67,2.46,-2.715
5.625,22,SM-26-P2,478399.31,2037192.67,2.46,-3.165
6.075,22.6,SM-26-P2,478399.31,2037192.67,2.46,-3.615
6.525,18.7,SM-26-P2,478399.31,2037192.67,2.46,-4.065
6.975,19.1,SM-26-P2,478399.31,2037192.67,2.46,-4.515
7.425,20.2,SM-26-P2,478399.31,2037192.67,2.46,-4.965
7.875,18.5,SM-26-P2,478399.31,2037192.67,2.46,-5.415
8.775,19.1,SM-26-P2,478399.31,2037192.67,2.46,-6.315
9.225,18.4,SM-26-P2,478399.31,2037192.67,2.46,-6.765
9.675,20.6,SM-26-P2,478399.31,2037192.67,2.46,-7.215
10.125,21.4,SM-26-P2,478399.31,2037192.67,2.46,-7.665
10.575,22.3,SM-26-P2,478399.31,2037192.67,2.46,-8.115
11.025,23.1,SM-26-P2,478399.31,2037192.67,2.46,-8.565
11.475,21.2,SM-26-P2,478399.31,2037192.67,2.46,-9.015
11.815,23.2,SM-26-P2,478399.31,2037192.67,2.46,-9.355
12.04,7.25,SM-26-P2,478399.31,2037192.67,2.46,-9.58
12.375,29.2,SM-26-P2,478399.31,2037192.67,2.46,-9.915
12.825,38.4,SM-26-P2,478399.31,2037192.67,2.46,-10.365
13.275,42.8,SM-26-P2,478399.31,2037192.67,2.46,-10.815
13.725,46.2,SM-26-P2,478399.31,2037192.67,2.46,-11.265
14.175,52.7,SM-26-P2,478399.31,2037192.67,2.46,-11.715
14.625,54.2,SM-26-P2,478399.31,2037192.67,2.46,-12.165
15.075,57.3,SM-26-P2,478399.31,2037192.67,2.46,-12.615
15.525,57.7,SM-26-P2,478399.31,2037192.67,2.46,-13.065
15.975,52.7,SM-26-P2,478399.31,2037192.67,2.46,-13.515
16.315,26.7,SM-26-P2,478399.31,2037192.67,2.46,-13.855
16.54,18.1,SM-26-P2,478399.31,2037192.67,2.46,-14.08
16.875,17.4,SM-26-P2,478399.31,2037192.67,2.46,-14.415
17.325,15.9,SM-26-P2,478399.31,2037192.67,2.46,-14.865
17.775,15.5,SM-26-P2,478399.31,2037192.67,2.46,-15.315
18.225,22.7,SM-26-P2,478399.31,2037192.67,2.46,-15.765
18.675,22.2,SM-26-P2,478399.31,2037192.67,2.46,-16.215
19.125,20.6,SM-26-P2,478399.31,2037192.67,2.46,-16.665
19.575,25.8,SM-26-P2,478399.31,2037192.67,2.46,-17.115
20.025,25.6,SM-26-P2,478399.31,2037192.67,2.46,-17.565
20.475,24,SM-26-P2,478399.31,2037192.67,2.46,-18.015
20.925,26.9,SM-26-P2,478399.31,2037192.67,2.46,-18.465
21.375,25.7,SM-26-P2,478399.31,2037192.67,2.46,-18.915
21.825,24.9,SM-26-P2,478399.31,2037192.67,2.46,-19.365
22.275,25.1,SM-26-P2,478399.31,2037192.67,2.46,-19.815
22.725,21.4,SM-26-P2,478399.31,2037192.67,2.46,-20.265
23.175,22.6,SM-26-P2,478399.31,2037192.67,2.46,-20.715
23.625,28.9,SM-26-P2,478399.31,2037192.67,2.46,-21.165
24.075,23.5,SM-26-P2,478399.31,2037192.67,2.46,-21.615
24.525,22.1,SM-26-P2,478399.31,2037192.67,2.46,-22.065
24.975,24.4,SM-26-P2,478399.31,2037192.67,2.46,-22.515
25.425,40.6,SM-26-P2,478399.31,2037192.67,2.46,-22.965
25.875,33.6,SM-26-P2,478399.31,2037192.67,2.46,-23.415
26.325,31.2,SM-26-P2,478399.31,2037192.67,2.46,-23.865
26.775,28.4,SM-26-P2,478399.31,2037192.67,2.46,-24.315
27.225,32,SM-26-P2,478399.31,2037192.67,2.46,-24.765
27.675,29.4,SM-26-P2,478399.31,2037192.67,2.46,-25.215
28.125,27.2,SM-26-P2,478399.31,2037192.67,2.46,-25.665
28.575,26.1,SM-26-P2,478399.31,2037192.67,2.46,-26.115
29.025,25,SM-26-P2,478399.31,2037192.67,2.46,-26.565
29.365,21.8,SM-26-P2,478399.31,2037192.67,2.46,-26.905
29.59,24,SM-26-P2,478399.31,2037192.67,2.46,-27.13
29.815,21.5,SM-26-P2,478399.31,2037192.67,2.46,-27.355
30.04,20.1,SM-26-P2,478399.31,2037192.67,2.46,-27.58
30.375,18.9,SM-26-P2,478399.31,2037192.67,2.46,-27.915
30.715,22.4,SM-26-P2,478399.31,2037192.67,2.46,-28.255
30.94,19.1,SM-26-P2,478399.31,2037192.67,2.46,-28.48
31.275,23.9,SM-26-P2,478399.31,2037192.67,2.46,-28.815
31.725,21.4,SM-26-P2,478399.31,2037192.67,2.46,-29.265
32.175,23,SM-26-P2,478399.31,2037192.67,2.46,-29.715
32.515,20.5,SM-26-P2,478399.31,2037192.67,2.46,-30.055
32.74,27.2,SM-26-P2,478399.31,2037192.67,2.46,-30.28
33.075,36.6,SM-26-P2,478399.31,2037192.67,2.46,-30.615
33.525,25.3,SM-26-P2,478399.31,2037192.67,2.46,-31.065
33.975,25.4,SM-26-P2,478399.31,2037192.67,2.46,-31.515
34.425,25.5,SM-26-P2,478399.31,2037192.67,2.46,-31.965
34.875,26.4,SM-26-P2,478399.31,2037192.67,2.46,-32.415
35.325,28.4,SM-26-P2,478399.31,2037192.67,2.46,-32.865
35.775,27.9,SM-26-P2,478399.31,2037192.67,2.46,-33.315
36.225,29.3,SM-26-P2,478399.31,2037192.67,2.46,-33.765
36.56,29.6,SM-26-P2,478399.31,2037192.67,2.46,-34.1
36.785,19.1,SM-26-P2,478399.31,2037192.67,2.46,-34.325
37.125,19.4,SM-26-P2,478399.31,2037192.67,2.46,-34.665
37.575,21.2,SM-26-P2,478399.31,2037192.67,2.46,-35.115
37.915,25.4,SM-26-P2,478399.31,2037192.67,2.46,-35.455
38.14,26,SM-26-P2,478399.31,2037192.67,2.46,-35.68
38.475,31.1,SM-26-P2,478399.31,2037192.67,2.46,-36.015
38.925,29.2,SM-26-P2,478399.31,2037192.67,2.46,-36.465
39.375,32.2,SM-26-P2,478399.31,2037192.67,2.46,-36.915
39.825,31.9,SM-26-P2,478399.31,2037192.67,2.46,-37.365
40.165,31.3,SM-26-P2,478399.31,2037192.67,2.46,-37.705
40.39,30.1,SM-26-P2,478399.31,2037192.67,2.46,-37.93
40.615,32.2,SM-26-P2,478399.31,2037192.67,2.46,-38.155
40.84,24.5,SM-26-P2,478399.31,2037192.67,2.46,-38.38
41.175,23.2,SM-26-P2,478399.31,2037192.67,2.46,-38.715
41.625,18.2,SM-26-P2,478399.31,2037192.67,2.46,-39.165
42.075,19.1,SM-26-P2,478399.31,2037192.67,2.46,-39.615
42.525,19.9,SM-26-P2,478399.31,2037192.67,2.46,-40.065
42.865,21.6,SM-26-P2,478399.31,2037192.67,2.46,-40.405
43.09,21,SM-26-P2,478399.31,2037192.67,2.46,-40.63
43.425,18.4,SM-26-P2,478399.31,2037192.67,2.46,-40.965
43.725,20.5,SM-26-P2,478399.31,2037192.67,2.46,-41.265
43.875,28.4,SM-26-P2,478399.31,2037192.67,2.46,-41.415
44.025,23.2,SM-26-P2,478399.31,2037192.67,2.46,-41.565
